,ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
43,44,Student_44,9.2,78,73,C,Pass,68.12
44,45,Student_45,3.3,67,58,F,Fail,55.23
45,46,Student_46,7.0,80,63,D,Pass,62.5
46,47,Student_47,3.8,79,66,D,Pass,63.68
47,48,Student_48,5.7,88,76,C,Pass,72.57
48,49,Student_49,5.9,84,70,C,Pass,67.79
49,50,Student_50,2.7,67,95,A,Pass,77.37
50,51,Student_51,9.7,91,69,D,Pass,69.67
51,52,Student_52,8.0,88,99,A,Pass,86.6
52,53,Student_53,9.5,66,91,A,Pass,75.35
53,54,Student_54,9.1,63,52,F,Fail,51.01
54,55,Student_55,6.4,80,95,A,Pass,81.64
55,56,Student_56,9.3,73,47,F,Fail,51.03
56,57,Student_57,1.8,84,89,B,Pass,78.78
57,58,Student_58,2.8,93,62,D,Pass,65.38
58,59,Student_59,1.4,94,92,A,Pass,83.54
59,60,Student_60,3.9,83,92,A,Pass,80.49
60,61,Student_61,4.5,52,88,B,Pass,68.85
61,62,Student_62,3.4,86,87,B,Pass,78.34
62,63,Student_63,8.5,92,58,F,Fail,63.25
63,64,Student_64,4.2,89,44,F,Fail,53.52
64,65,Student_65,3.5,75,64,D,Pass,61.25
65,66,Student_66,5.9,72,50,F,Fail,52.19
66,67,Student_67,2.3,93,81,B,Pass,76.73
67,68,Student_68,8.2,88,60,D,Pass,63.22
68,69,Student_69,1.7,64,98,A,Pass,78.17
69,70,Student_70,9.9,98,78,C,Pass,77.19
70,71,Student_71,8.0,53,89,B,Pass,70.1
71,72,Student_72,2.8,78,48,F,Fail,52.48
72,73,Student_73,1.0,71,91,A,Pass,76.0
73,74,Student_74,8.3,74,95,A,Pass,80.03
74,75,Student_75,7.4,62,69,D,Pass,60.74
75,76,Student_76,7.6,67,76,C,Pass,66.46
76,77,Student_77,7.9,82,85,B,Pass,76.39
77,78,Student_78,1.7,65,50,F,Fail,49.67
78,79,Student_79,4.2,94,70,C,Pass,70.62
79,80,Student_80,2.0,91,63,D,Pass,65.3
80,81,Student_81,8.8,93,48,F,Fail,57.58
81,82,Student_82,6.6,51,62,D,Pass,53.16
82,83,Student_83,4.0,84,69,D,Pass,67.0
83,84,Student_84,1.6,91,41,F,Fail,52.06
84,85,Student_85,3.8,83,48,F,Fail,54.08
85,86,Student_86,3.9,79,97,A,Pass,82.29
86,87,Student_87,7.6,62,73,C,Pass,63.16
87,88,Student_88,6.7,62,97,A,Pass,77.47
88,89,Student_89,9.0,67,65,D,Pass,60.0
89,90,Student_90,5.2,81,58,F,Fail,59.62
90,91,Student_91,2.1,81,70,C,Pass,66.51
91,92,Student_92,7.4,84,66,D,Pass,65.54
92,93,Student_93,7.8,88,46,F,Fail,54.78
93,94,Student_94,6.1,95,78,C,Pass,75.91
94,95,Student_95,7.9,78,53,F,Fail,55.99
95,96,Student_96,5.4,98,77,C,Pass,76.14
96,97,Student_97,5.7,78,79,C,Pass,71.37
97,98,Student_98,4.8,93,49,F,Fail,57.78
98,99,Student_99,1.2,65,43,F,Fail,45.42
99,100,Student_100,2.0,93,86,B,Pass,79.7
100,101,Student_101,1.3,96,69,D,Pass,70.33
101,102,Student_102,6.7,59,43,F,Fail,44.17
102,103,Student_103,3.8,79,99,A,Pass,83.48
103,104,Student_104,5.6,74,43,F,Fail,48.56
104,105,Student_105,9.2,88,81,B,Pass,75.92
105,106,Student_106,3.2,69,99,A,Pass,80.42
106,107,Student_107,4.7,54,54,F,Fail,49.07
107,108,Student_108,7.8,50,48,F,Fail,44.58
108,109,Student_109,3.1,79,47,F,Fail,52.21
109,110,Student_110,1.7,98,58,F,Fail,64.37
110,111,Student_111,3.6,52,46,F,Fail,43.56
111,112,Student_112,2.5,94,81,B,Pass,77.05
112,113,Student_113,9.4,63,43,F,Fail,45.64
113,114,Student_114,8.3,79,70,C,Pass,66.53
114,115,Student_115,6.7,99,99,A,Pass,89.77
115,116,Student_116,8.8,53,88,B,Pass,69.58
116,117,Student_117,8.2,67,76,C,Pass,66.52
117,118,Student_118,2.7,86,58,F,Fail,60.87
118,119,Student_119,9.0,74,77,C,Pass,69.3
119,120,Student_120,5.9,97,71,C,Pass,72.29
120,121,Student_121,8.3,50,65,D,Pass,54.83
121,122,Student_122,9.1,95,47,F,Fail,57.61
122,123,Student_123,3.9,64,93,A,Pass,75.39
123,124,Student_124,2.0,58,67,D,Pass,57.8
124,125,Student_125,3.1,64,51,F,Fail,50.11
125,126,Student_126,4.8,98,62,D,Pass,67.08
126,127,Student_127,8.4,73,64,D,Pass,61.14
127,128,Student_128,8.7,53,89,B,Pass,70.17
128,129,Student_129,1.1,61,84,B,Pass,68.81
129,130,Student_130,5.6,86,86,B,Pass,77.96
130,131,Student_131,4.8,86,40,F,Fail,50.28
131,132,Student_132,3.0,92,65,D,Pass,66.9
132,133,Student_133,2.1,55,68,D,Pass,57.51
133,134,Student_134,4.0,88,41,F,Fail,51.4
134,135,Student_135,9.5,95,55,F,Fail,62.45
135,136,Student_136,3.9,73,85,B,Pass,73.29
136,137,Student_137,5.7,60,69,D,Pass,59.97
137,138,Student_138,7.3,62,72,C,Pass,62.53
138,139,Student_139,4.3,83,52,F,Fail,56.53
139,140,Student_140,9.7,74,40,F,Fail,47.17
140,141,Student_141,9.7,56,69,D,Pass,59.17
141,142,Student_142,3.3,53,98,A,Pass,75.03
142,143,Student_143,5.5,57,88,B,Pass,70.45
143,144,Student_144,3.7,69,97,A,Pass,79.27
144,145,Student_145,3.6,78,69,D,Pass,65.16
145,146,Student_146,1.3,100,46,F,Fail,57.73
146,147,Student_147,6.5,94,72,C,Pass,72.05
147,148,Student_148,5.5,95,67,D,Pass,69.25
148,149,Student_149,1.5,59,90,A,Pass,71.85
149,150,Student_150,3.5,92,45,F,Fail,54.95
150,151,Student_151,9.2,83,69,D,Pass,67.22
151,152,Student_152,3.2,75,49,F,Fail,52.22
152,153,Student_153,2.3,90,59,F,Fail,62.63
153,154,Student_154,5.4,98,84,B,Pass,80.34
154,155,Student_155,9.9,52,68,D,Pass,57.39
155,156,Student_156,3.2,55,62,D,Pass,54.02
156,157,Student_157,7.0,54,69,D,Pass,58.3
157,158,Student_158,7.9,54,67,D,Pass,57.19
158,159,Student_159,3.1,96,87,B,Pass,81.31
159,160,Student_160,7.6,72,93,A,Pass,78.16
160,161,Student_161,4.3,98,97,A,Pass,88.03
161,162,Student_162,6.7,58,87,B,Pass,70.27
162,163,Student_163,6.7,84,58,F,Fail,60.67
163,164,Student_164,5.8,69,81,B,Pass,69.88
164,165,Student_165,1.8,98,66,D,Pass,69.18
165,166,Student_166,8.5,91,55,F,Fail,61.15
166,167,Student_167,3.9,84,90,A,Pass,79.59
167,168,Student_168,2.7,99,42,F,Fail,55.17
168,169,Student_169,1.4,67,94,A,Pass,76.64
169,170,Student_170,6.3,66,67,D,Pass,60.63
170,171,Student_171,7.1,73,78,C,Pass,69.41
171,172,Student_172,1.1,52,79,C,Pass,63.11
172,173,Student_173,5.6,81,93,A,Pass,80.66
173,174,Student_174,3.0,84,78,C,Pass,72.3
174,175,Student_175,6.8,87,69,D,Pass,68.18
175,176,Student_176,2.6,62,44,F,Fail,45.26
176,177,Student_177,7.2,96,69,D,Pass,70.92
177,178,Student_178,4.5,74,49,F,Fail,52.05
178,179,Student_179,9.4,58,84,B,Pass,68.74
179,180,Student_180,2.2,53,70,C,Pass,58.12
180,181,Student_181,4.1,63,80,B,Pass,67.31
181,182,Student_182,2.0,86,42,F,Fail,51.2
182,183,Student_183,9.3,83,45,F,Fail,52.83
183,184,Student_184,8.9,60,83,B,Pass,68.69
184,185,Student_185,3.3,90,44,F,Fail,53.73
185,186,Student_186,6.9,52,44,F,Fail,42.69
186,187,Student_187,8.4,77,40,F,Fail,47.94
187,188,Student_188,6.0,78,97,A,Pass,82.2
188,189,Student_189,5.8,58,84,B,Pass,68.38
189,190,Student_190,3.2,52,61,D,Pass,52.52
190,191,Student_191,1.8,74,57,F,Fail,56.58
191,192,Student_192,9.1,83,61,D,Pass,62.41
192,193,Student_193,9.1,61,86,B,Pass,70.81
193,194,Student_194,6.7,91,79,C,Pass,75.37
194,195,Student_195,4.1,58,51,F,Fail,48.41
195,196,Student_196,4.1,64,50,F,Fail,49.61
196,197,Student_197,7.5,89,45,F,Fail,54.45
197,198,Student_198,9.1,74,69,D,Pass,64.51
198,199,Student_199,9.0,54,85,B,Pass,68.1
199,200,Student_200,8.0,60,55,F,Fail,51.8
200,201,Student_201,6.8,83,41,F,Fail,50.18
201,202,Student_202,1.8,73,44,F,Fail,48.48
202,203,Student_203,2.5,64,98,A,Pass,78.25
203,204,Student_204,9.1,87,57,F,Fail,61.21
204,205,Student_205,6.5,57,86,B,Pass,69.35
205,206,Student_206,1.1,54,77,C,Pass,62.51
206,207,Student_207,1.9,97,62,D,Pass,66.49
207,208,Student_208,7.0,75,52,F,Fail,54.4
208,209,Student_209,1.0,67,47,F,Fail,48.4
209,210,Student_210,2.4,55,76,C,Pass,62.34
210,211,Student_211,5.9,86,86,B,Pass,77.99
211,212,Student_212,7.2,97,78,C,Pass,76.62
212,213,Student_213,6.9,62,71,C,Pass,61.89
213,214,Student_214,3.0,77,42,F,Fail,48.6
214,215,Student_215,7.4,54,98,A,Pass,75.74
215,216,Student_216,3.1,62,87,B,Pass,71.11
216,217,Student_217,3.9,66,57,F,Fail,54.39
217,218,Student_218,7.7,99,69,D,Pass,71.87
218,219,Student_219,6.8,89,76,C,Pass,72.98
219,220,Student_220,8.6,94,74,C,Pass,73.46
220,221,Student_221,6.9,81,84,B,Pass,75.39
221,222,Student_222,6.1,78,88,B,Pass,76.81
222,223,Student_223,1.8,100,79,C,Pass,77.58
223,224,Student_224,4.3,52,47,F,Fail,44.23
224,225,Student_225,3.4,89,60,D,Pass,63.04
225,226,Student_226,3.2,83,95,A,Pass,82.22
226,227,Student_227,9.8,89,53,F,Fail,59.48
227,228,Student_228,4.5,76,62,D,Pass,60.45
228,229,Student_229,9.0,62,65,D,Pass,58.5
229,230,Student_230,6.7,94,66,D,Pass,68.47
230,231,Student_231,8.2,82,76,C,Pass,71.02
231,232,Student_232,5.5,55,96,A,Pass,74.65
232,233,Student_233,6.2,73,54,F,Fail,54.92
233,234,Student_234,5.4,68,47,F,Fail,49.14
234,235,Student_235,2.8,65,69,D,Pass,61.18
235,236,Student_236,7.5,89,93,A,Pass,83.25
236,237,Student_237,3.5,77,78,C,Pass,70.25
237,238,Student_238,1.2,82,57,F,Fail,58.92
238,239,Student_239,6.8,97,89,B,Pass,83.18
239,240,Student_240,2.6,90,91,A,Pass,81.86
240,241,Student_241,9.5,62,90,A,Pass,73.55
241,242,Student_242,9.6,92,95,A,Pass,85.56
242,243,Student_243,9.2,94,55,F,Fail,62.12
243,244,Student_244,4.3,74,85,B,Pass,73.63
244,245,Student_245,1.1,91,67,D,Pass,67.61
245,246,Student_246,9.4,85,90,A,Pass,80.44
246,247,Student_247,4.9,76,83,B,Pass,73.09
247,248,Student_248,9.7,87,86,B,Pass,78.67
248,249,Student_249,9.7,56,79,C,Pass,65.17
249,250,Student_250,8.7,54,50,F,Fail,47.07
250,251,Student_251,3.7,92,72,C,Pass,71.17
251,252,Student_252,4.5,94,99,A,Pass,88.05
252,253,Student_253,8.7,100,96,A,Pass,88.47
253,254,Student_254,3.9,80,42,F,Fail,49.59
254,255,Student_255,2.5,72,49,F,Fail,51.25
255,256,Student_256,6.0,91,47,F,Fail,56.1
256,257,Student_257,9.4,59,83,B,Pass,68.44
257,258,Student_258,7.3,81,89,B,Pass,78.43
258,259,Student_259,6.1,92,52,F,Fail,59.41
259,260,Student_260,1.9,79,70,C,Pass,65.89
260,261,Student_261,6.5,88,90,A,Pass,81.05
261,262,Student_262,9.9,80,84,B,Pass,75.39
262,263,Student_263,2.3,67,72,C,Pass,63.53
263,264,Student_264,5.7,85,75,C,Pass,71.07
264,265,Student_265,8.9,51,70,C,Pass,58.19
265,266,Student_266,7.7,63,57,F,Fail,53.87
266,267,Student_267,7.3,62,73,C,Pass,63.13
267,268,Student_268,7.3,78,81,B,Pass,72.73
268,269,Student_269,4.2,61,92,A,Pass,73.92
269,270,Student_270,3.6,88,78,C,Pass,73.56
270,271,Student_271,8.3,51,85,B,Pass,67.13
271,272,Student_272,8.3,81,49,F,Fail,54.53
272,273,Student_273,8.8,62,67,D,Pass,59.68
273,274,Student_274,9.2,95,40,F,Fail,53.42
274,275,Student_275,5.6,76,54,F,Fail,55.76
275,276,Student_276,5.5,98,83,B,Pass,79.75
276,277,Student_277,8.2,90,99,A,Pass,87.22
277,278,Student_278,6.8,66,46,F,Fail,48.08
278,279,Student_279,7.3,89,64,D,Pass,65.83
279,280,Student_280,8.2,80,88,B,Pass,77.62
280,281,Student_281,9.0,83,52,F,Fail,57.0
281,282,Student_282,4.0,73,73,C,Pass,66.1
282,283,Student_283,4.4,94,84,B,Pass,79.04
283,284,Student_284,1.8,84,77,C,Pass,71.58
284,285,Student_285,6.2,97,51,F,Fail,60.32
285,286,Student_286,1.3,55,61,D,Pass,53.23
286,287,Student_287,5.2,68,87,B,Pass,73.12
287,288,Student_288,5.9,79,73,C,Pass,68.09
288,289,Student_289,3.6,56,40,F,Fail,41.16
289,290,Student_290,6.3,59,85,B,Pass,69.33
290,291,Student_291,1.3,90,42,F,Fail,52.33
291,292,Student_292,1.3,81,84,B,Pass,74.83
292,293,Student_293,8.4,83,52,F,Fail,56.94
293,294,Student_294,4.2,77,97,A,Pass,81.72
294,295,Student_295,2.1,64,62,D,Pass,56.61
295,296,Student_296,5.7,79,59,F,Fail,59.67
296,297,Student_297,7.9,86,48,F,Fail,55.39
297,298,Student_298,2.9,78,58,F,Fail,58.49
298,299,Student_299,6.6,71,92,A,Pass,77.16
299,300,Student_300,1.8,53,99,A,Pass,75.48
300,301,Student_301,1.5,69,62,D,Pass,58.05
301,302,Student_302,5.8,81,66,D,Pass,64.48
302,303,Student_303,5.9,85,83,B,Pass,75.89
303,304,Student_304,6.7,99,93,A,Pass,86.17
304,305,Student_305,7.5,53,75,C,Pass,61.65
305,306,Student_306,9.8,76,63,D,Pass,61.58
306,307,Student_307,5.6,66,64,D,Pass,58.76
307,308,Student_308,3.9,61,81,B,Pass,67.29
308,309,Student_309,8.2,71,40,F,Fail,46.12
309,310,Student_310,3.4,66,77,C,Pass,66.34
310,311,Student_311,5.0,59,61,D,Pass,54.8
311,312,Student_312,1.7,50,87,B,Pass,67.37
312,313,Student_313,1.2,71,45,F,Fail,48.42
313,314,Student_314,9.7,75,75,C,Pass,68.47
314,315,Student_315,8.5,67,68,D,Pass,61.75
315,316,Student_316,7.3,99,78,C,Pass,77.23
316,317,Student_317,4.7,63,43,F,Fail,45.17
317,318,Student_318,2.6,96,74,C,Pass,73.46
318,319,Student_319,2.4,78,73,C,Pass,67.44
319,320,Student_320,3.3,61,73,C,Pass,62.43
320,321,Student_321,5.9,85,76,C,Pass,71.69
321,322,Student_322,7.4,84,80,B,Pass,73.94
322,323,Student_323,6.9,61,88,B,Pass,71.79
323,324,Student_324,3.5,56,56,F,Fail,50.75
324,325,Student_325,9.6,78,89,B,Pass,77.76
325,326,Student_326,7.6,60,69,D,Pass,60.16
326,327,Student_327,6.0,82,44,F,Fail,51.6
327,328,Student_328,6.5,55,43,F,Fail,42.95
328,329,Student_329,4.8,96,60,D,Pass,65.28
329,330,Student_330,3.2,64,87,B,Pass,71.72
330,331,Student_331,4.2,81,82,B,Pass,73.92
331,332,Student_332,7.8,100,87,B,Pass,82.98
332,333,Student_333,1.1,60,71,C,Pass,60.71
333,334,Student_334,2.0,72,66,D,Pass,61.4
334,335,Student_335,1.4,75,48,F,Fail,51.44
335,336,Student_336,1.4,83,59,F,Fail,60.44
336,337,Student_337,8.7,95,66,D,Pass,68.97
337,338,Student_338,7.3,83,45,F,Fail,52.63
338,339,Student_339,5.3,78,53,F,Fail,55.73
339,340,Student_340,1.9,53,75,C,Pass,61.09
340,341,Student_341,5.4,66,84,B,Pass,70.74
341,342,Student_342,5.3,84,99,A,Pass,85.13
342,343,Student_343,2.6,62,96,A,Pass,76.46
343,344,Student_344,4.9,90,78,C,Pass,74.29
344,345,Student_345,4.6,88,65,D,Pass,65.86
345,346,Student_346,6.5,64,78,C,Pass,66.65
346,347,Student_347,6.7,78,87,B,Pass,76.27
347,348,Student_348,1.4,78,47,F,Fail,51.74
348,349,Student_349,4.4,60,64,D,Pass,56.84
349,350,Student_350,6.6,81,90,A,Pass,78.96
350,351,Student_351,5.5,51,63,D,Pass,53.65
351,352,Student_352,8.7,96,74,C,Pass,74.07
352,353,Student_353,6.9,63,75,C,Pass,64.59
353,354,Student_354,2.5,69,51,F,Fail,51.55
354,355,Student_355,1.6,71,61,D,Pass,58.06
355,356,Student_356,6.8,60,60,D,Pass,54.68
356,357,Student_357,1.2,76,41,F,Fail,47.52
357,358,Student_358,6.3,52,41,F,Fail,40.83
358,359,Student_359,9.5,66,89,B,Pass,74.15
359,360,Student_360,6.2,93,56,F,Fail,62.12
360,361,Student_361,4.5,77,71,C,Pass,66.15
361,362,Student_362,6.8,78,57,F,Fail,58.28
362,363,Student_363,5.1,70,96,A,Pass,79.11
363,364,Student_364,5.9,96,55,F,Fail,62.39
364,365,Student_365,9.5,65,65,D,Pass,59.45
365,366,Student_366,4.5,86,92,A,Pass,81.45
366,367,Student_367,9.7,69,90,A,Pass,75.67
367,368,Student_368,9.1,55,51,F,Fail,48.01
368,369,Student_369,2.8,68,88,B,Pass,73.48
369,370,Student_370,1.6,54,67,D,Pass,56.56
370,371,Student_371,1.9,52,69,D,Pass,57.19
371,372,Student_372,1.2,50,48,F,Fail,43.92
372,373,Student_373,1.8,87,44,F,Fail,52.68
373,374,Student_374,7.1,64,83,B,Pass,69.71
374,375,Student_375,1.6,83,69,D,Pass,66.46
375,376,Student_376,3.9,84,66,D,Pass,65.19
376,377,Student_377,8.6,98,83,B,Pass,80.06
377,378,Student_378,1.2,74,85,B,Pass,73.32
378,379,Student_379,8.3,73,49,F,Fail,52.13
379,380,Student_380,3.5,61,76,C,Pass,64.25
380,381,Student_381,2.1,67,48,F,Fail,49.11
381,382,Student_382,7.3,64,85,B,Pass,70.93
382,383,Student_383,6.7,93,79,C,Pass,75.97
383,384,Student_384,8.9,65,97,A,Pass,78.59
384,385,Student_385,7.6,76,44,F,Fail,49.96
385,386,Student_386,8.2,57,43,F,Fail,43.72
386,387,Student_387,3.5,95,56,F,Fail,62.45
387,388,Student_388,2.6,74,55,F,Fail,55.46
388,389,Student_389,7.8,66,54,F,Fail,52.98
389,390,Student_390,8.3,78,94,A,Pass,80.63
390,391,Student_391,9.9,57,55,F,Fail,51.09
391,392,Student_392,4.7,64,56,F,Fail,53.27
392,393,Student_393,4.3,76,85,B,Pass,74.23
393,394,Student_394,8.0,95,67,D,Pass,69.5
394,395,Student_395,4.1,99,86,B,Pass,81.71
395,396,Student_396,9.4,56,43,F,Fail,43.54
396,397,Student_397,8.7,52,69,D,Pass,57.87
397,398,Student_398,4.9,78,42,F,Fail,49.09
398,399,Student_399,7.8,93,43,F,Fail,54.48
399,400,Student_400,7.8,73,94,A,Pass,79.08
400,401,Student_401,1.9,52,69,D,Pass,57.19
401,402,Student_402,9.1,69,71,C,Pass,64.21
402,403,Student_403,5.5,95,64,D,Pass,67.45
403,404,Student_404,8.4,64,60,D,Pass,56.04
404,405,Student_405,3.9,74,94,A,Pass,78.99
405,406,Student_406,9.1,79,41,F,Fail,49.21
406,407,Student_407,4.5,63,79,C,Pass,66.75
407,408,Student_408,1.1,56,97,A,Pass,75.11
408,409,Student_409,9.1,66,73,C,Pass,64.51
409,410,Student_410,1.8,93,96,A,Pass,85.68
410,411,Student_411,3.9,69,43,F,Fail,46.89
411,412,Student_412,9.6,85,65,D,Pass,65.46
412,413,Student_413,9.6,58,55,F,Fail,51.36
413,414,Student_414,6.2,87,83,B,Pass,76.52
414,415,Student_415,6.7,97,98,A,Pass,88.57
415,416,Student_416,5.0,71,55,F,Fail,54.8
416,417,Student_417,3.6,51,79,C,Pass,63.06
417,418,Student_418,4.0,73,51,F,Fail,52.9
418,419,Student_419,7.1,57,73,C,Pass,61.61
419,420,Student_420,7.8,60,67,D,Pass,58.98
420,421,Student_421,8.1,62,69,D,Pass,60.81
421,422,Student_422,8.1,66,76,C,Pass,66.21
422,423,Student_423,1.8,57,61,D,Pass,53.88
423,424,Student_424,5.4,70,46,F,Fail,49.14
424,425,Student_425,1.5,67,49,F,Fail,49.65
425,426,Student_426,5.9,79,53,F,Fail,56.09
426,427,Student_427,5.0,67,55,F,Fail,53.6
427,428,Student_428,9.0,95,69,D,Pass,70.8
428,429,Student_429,4.2,96,73,C,Pass,73.02
429,430,Student_430,2.1,80,71,C,Pass,66.81
430,431,Student_431,2.3,87,46,F,Fail,53.93
431,432,Student_432,7.9,81,91,A,Pass,79.69
432,433,Student_433,6.6,60,83,B,Pass,68.46
433,434,Student_434,1.9,94,44,F,Fail,54.79
434,435,Student_435,1.8,74,82,B,Pass,71.58
435,436,Student_436,7.3,82,72,C,Pass,68.53
436,437,Student_437,1.7,87,44,F,Fail,52.67
437,438,Student_438,8.4,90,67,D,Pass,68.04
438,439,Student_439,7.4,57,69,D,Pass,59.24
439,440,Student_440,1.7,60,49,F,Fail,47.57
440,441,Student_441,1.8,71,96,A,Pass,79.08
441,442,Student_442,9.9,100,91,A,Pass,85.59
442,443,Student_443,4.4,73,80,B,Pass,70.34
443,444,Student_444,4.3,90,67,D,Pass,67.63
444,445,Student_445,8.3,66,64,D,Pass,59.03
445,446,Student_446,9.5,61,79,C,Pass,66.65
446,447,Student_447,9.9,95,72,C,Pass,72.69
447,448,Student_448,7.8,81,43,F,Fail,50.88
448,449,Student_449,4.4,64,70,C,Pass,61.64
449,450,Student_450,1.8,65,88,B,Pass,72.48
450,451,Student_451,8.0,71,67,D,Pass,62.3
451,452,Student_452,6.0,77,69,D,Pass,65.1
452,453,Student_453,4.8,69,87,B,Pass,73.38
453,454,Student_454,9.2,82,52,F,Fail,56.72
454,455,Student_455,2.0,59,55,F,Fail,50.9
455,456,Student_456,5.4,89,49,F,Fail,56.64
456,457,Student_457,1.1,81,59,F,Fail,59.81
457,458,Student_458,5.2,99,85,B,Pass,81.22
458,459,Student_459,1.5,82,71,C,Pass,67.35
459,460,Student_460,2.1,51,52,F,Fail,46.71
460,461,Student_461,2.1,82,92,A,Pass,80.01
461,462,Student_462,6.8,82,92,A,Pass,80.48
462,463,Student_463,7.7,90,92,A,Pass,82.97
463,464,Student_464,6.3,62,54,F,Fail,51.63
464,465,Student_465,9.7,79,67,D,Pass,64.87
465,466,Student_466,4.4,82,99,A,Pass,84.44
466,467,Student_467,3.6,62,86,B,Pass,70.56
467,468,Student_468,8.8,75,41,F,Fail,47.98
468,469,Student_469,3.0,71,43,F,Fail,47.4
469,470,Student_470,9.7,88,67,D,Pass,67.57
470,471,Student_471,1.1,51,69,D,Pass,56.81
471,472,Student_472,9.7,87,72,C,Pass,70.27
472,473,Student_473,1.4,88,69,D,Pass,67.94
473,474,Student_474,9.0,75,46,F,Fail,51.0
474,475,Student_475,5.7,95,79,C,Pass,76.47
475,476,Student_476,9.9,99,89,B,Pass,84.09
476,477,Student_477,1.7,64,62,D,Pass,56.57
477,478,Student_478,6.0,83,86,B,Pass,77.1
478,479,Student_479,9.7,91,97,A,Pass,86.47
479,480,Student_480,5.7,93,52,F,Fail,59.67
480,481,Student_481,6.7,98,71,C,Pass,72.67
481,482,Student_482,7.3,89,57,F,Fail,61.63
482,483,Student_483,5.1,60,87,B,Pass,70.71
483,484,Student_484,6.6,52,74,C,Pass,60.66
484,485,Student_485,6.3,55,78,C,Pass,63.93
485,486,Student_486,9.1,58,87,B,Pass,70.51
486,487,Student_487,1.4,55,63,D,Pass,54.44
487,488,Student_488,3.5,58,94,A,Pass,74.15
488,489,Student_489,9.6,88,72,C,Pass,70.56
489,490,Student_490,9.0,80,49,F,Fail,54.3
490,491,Student_491,5.1,81,81,B,Pass,73.41
491,492,Student_492,6.6,90,87,B,Pass,79.86
492,493,Student_493,3.5,99,59,F,Fail,65.45
493,494,Student_494,2.7,61,91,A,Pass,73.17
494,495,Student_495,5.2,57,94,A,Pass,74.02
495,496,Student_496,4.2,57,56,F,Fail,51.12
496,497,Student_497,6.3,99,99,A,Pass,89.73
497,498,Student_498,1.7,77,48,F,Fail,52.07
498,499,Student_499,9.8,69,52,F,Fail,52.88
499,500,Student_500,9.9,96,51,F,Fail,60.39
500,501,Student_501,7.3,56,93,A,Pass,73.33
501,502,Student_502,5.8,60,79,C,Pass,65.98
502,503,Student_503,3.8,69,49,F,Fail,50.48
503,504,Student_504,8.3,65,66,D,Pass,59.93
504,505,Student_505,7.2,53,76,C,Pass,62.22
505,506,Student_506,2.5,55,45,F,Fail,43.75
506,507,Student_507,9.2,71,92,A,Pass,77.42
507,508,Student_508,8.4,75,88,B,Pass,76.14
508,509,Student_509,9.5,52,70,C,Pass,58.55
509,510,Student_510,7.5,90,98,A,Pass,86.55
510,511,Student_511,6.5,91,65,D,Pass,66.95
511,512,Student_512,4.8,63,99,A,Pass,78.78
512,513,Student_513,9.4,60,80,B,Pass,66.94
513,514,Student_514,8.8,67,78,C,Pass,67.78
514,515,Student_515,1.4,61,50,F,Fail,48.44
